5499841;RU;LIV;ARLINDO;124;-38.326.164;-3.437.079
306670;RU;LIV;ARLINDO;127;-38.326.162;-3.437.033
306671;RU;LIV;ARLINDO;127;-38.326.157;-3.437.080
306672;RU;LIV;ARLINDO;127;-38.326.149;-3.437.129
306673;RU;LIV;ARLINDO;127;-38.326.152;-3.437.121
4060197;RU;LIV;ARLINDO;134;;
1041487;RU;LIV;ARLINDO;134;-38.326.170;-3.437.133
306679;RU;LIV;ARLINDO;135;-38.326.156;-3.437.118
306680;RU;LIV;ARLINDO;137;-38.326.168;-3.437.166
5026438;RU;LIV;ARLINDO;140;-38.326.166;-3.437.210
5242807;RU;LIV;ARLINDO;143;-38.326.228;-3.437.202
306686;RU;LIV;ARLINDO;148;-38.326.173;-3.437.245
306687;RU;LIV;ARLINDO;149;-38.326.184;-3.437.297
306688;RU;LIV;ARLINDO;150;-38.326.059;-3.437.283
6003844;RU;LIV;ARLINDO;154;-38.326.165;-3.437.324
306691;RU;LIV;ARLINDO;155;-38.326.167;-3.437.305
5473557;RU;LIV;ARLINDO;159;;
306699;RU;LIV;ARLINDO;173;-38.326.072;-3.437.386
1639343;RU;LIV;ARLINDO;173;-38.326.146;-3.437.461
306702;RU;LIV;ARLINDO;178;-38.326.177;-3.437.427
5357452;RU;LIV;ARLINDO;180;-38.326.176;-3.437.432
1578822;RU;LIV;ARLINDO;180;-38.326.208;-3.437.461
4819260;RU;LIV;ARLINDO;180;-38.326.176;-3.437.432
306705;RU;LIV;ARLINDO;186;-38.326.181;-3.437.452
